n,m,n_ok,PGD_sup_mean,PGD_sup_std,PGD_l2_mean,PGD_l2_std,PGD_MSE_mean
3,200.0,10,0.10597695177870281,0.03059249935103078,0.06073512271768076,0.012966215364809953,0.00258543282090248
4,320.0,10,0.05512513063891392,0.010621719132897674,0.02669616711045152,0.004177706075986141,0.0005079827210295799
5,500.0,10,0.06112770153535775,0.02000456100250232,0.032156642401815934,0.010237032367532985,0.00035180267335772
6,720.0,10,0.05297326613932453,0.011377255051066563,0.02583468313287,0.0049350531677107195,0.00027642341314688994
7,980.0,10,0.03841502761555299,0.0061250424609284185,0.01895173319504715,0.003743822028645531,0.00015791883524892742
8,1280.0,10,0.03130491424790396,0.010737397296928209,0.015072662659649511,0.005930822731487211,7.678475991423144e-05
10,2000.0,10,0.02818975062468792,0.005866598515045783,0.013399732024880128,0.0035776594036410407,6.15068990836259e-05
13,3380.0,10,0.01877482170722068,0.0061982046536988335,0.009052955415011558,0.002906483062281746,1.84020649833444e-05
16,5120.0,10,0.0151474026419783,0.004895978843561078,0.00711752025415417,0.0027293390044691914,1.1285428367948031e-05
19,7220.0,10,0.011065435621994208,0.0026749226939265357,0.00538586774703304,0.0017765949499642297,5.964225754549925e-06
24,11520.0,10,0.01034352914575265,0.0034666606680812334,0.004607420576134761,0.001975199766277986,2.988993505003115e-06
29,16820.0,10,0.00790837807607846,0.002751619259474924,0.0037434814546907003,0.0014917747970146702,1.5032993260317908e-06
36,25920.0,10,0.00583392396695583,0.001283380461540443,0.00282638308359772,0.0005918442603738351,8.370949573018478e-07
44,38720.0,10,0.004729553576708,0.000985086654017666,0.0021572556454019696,0.0004848024440899666,4.897369484625264e-07
54,58320.0,10,0.00367902226357782,0.0009533736739779887,0.0015316974102566401,0.0005444402262398475,2.6211647594732376e-07
66,87120.0,10,0.0029209548689861,0.0007283146178733524,0.0013015850335310998,0.00046024614685216843,1.3957645187198617e-07
81,131220.0,10,0.0029054647712984903,0.0008104474236530811,0.0013020828158320202,0.0005729134185328358,8.023885246148678e-08
100,200000.0,10,0.0021124770117910098,0.0007147150331830558,0.00106309077784923,0.0004998201721349903,4.782259368699108e-08
