arc,n_samples,method,time_s,metric_name,metric,failed,regime,n_bezier
1->31,542,bezier_mle,0.005921807955019176,nll,-1914.9549642150878,False,rush_hour,10
1->31,542,gen_beta_mle,0.014243371959310025,nll,-1917.2015547948392,False,rush_hour,10
1->31,542,johnson_mle,0.041808223992120475,nll,-1917.0343310616831,False,rush_hour,10
10->435,542,bezier_mle,0.07118291000369936,nll,-2582.4740457732278,False,rush_hour,10
10->435,542,gen_beta_mle,0.020684888993855566,nll,-2567.9228297902637,False,rush_hour,10
10->435,542,johnson_mle,0.01455426902975887,nll,-2576.2785381864996,False,rush_hour,10
100->524,542,bezier_mle,0.012180824996903539,nll,-1927.613888341372,False,rush_hour,10
100->524,542,gen_beta_mle,0.018384906987193972,nll,-1930.8081758566414,False,rush_hour,10
100->524,542,johnson_mle,0.040292950987350196,nll,-1930.235845498993,False,rush_hour,10
100->99,542,bezier_mle,0.006959901947993785,nll,-1927.3288383082581,False,rush_hour,10
100->99,542,gen_beta_mle,0.029757926997262985,nll,-1936.4632653919234,False,rush_hour,10
100->99,542,johnson_mle,0.04099583794595674,nll,-1936.2004766615391,False,rush_hour,10
101->102,542,bezier_mle,0.005355450033675879,nll,-1932.2459111940689,False,rush_hour,10
101->102,542,gen_beta_mle,0.016060635971371084,nll,-1935.5601452571393,False,rush_hour,10
101->102,542,johnson_mle,0.02214480598922819,nll,-1936.3618352222375,False,rush_hour,10
101->457,542,bezier_mle,0.003281960031017661,nll,-1907.570763650112,False,rush_hour,10
101->457,542,gen_beta_mle,0.025178677984513342,nll,-1907.881323858224,False,rush_hour,10
101->457,542,johnson_mle,0.04135608900105581,nll,-1907.546999400462,False,rush_hour,10
102->101,542,bezier_mle,0.007214244978968054,nll,-1962.7208042959762,False,rush_hour,10
102->101,542,gen_beta_mle,0.023008848016615957,nll,-1966.8732796711124,False,rush_hour,10
102->101,542,johnson_mle,0.04310297698248178,nll,-1966.6561519982554,False,rush_hour,10
102->103,542,bezier_mle,0.004296550992876291,nll,-1956.8655661307841,False,rush_hour,10
102->103,542,gen_beta_mle,0.019373850955162197,nll,-1953.847448272733,False,rush_hour,10
102->103,542,johnson_mle,0.01996926497668028,nll,-1962.4211554937654,False,rush_hour,10
103->102,542,bezier_mle,0.009183896996546537,nll,-1937.341177307624,False,rush_hour,10
103->102,542,gen_beta_mle,0.024461287015583366,nll,-1938.4969392936023,False,rush_hour,10
103->102,542,johnson_mle,0.037948393961414695,nll,-1939.2837517579871,False,rush_hour,10
103->104,542,bezier_mle,0.006050704978406429,nll,-1914.3174843652228,False,rush_hour,10
103->104,542,gen_beta_mle,0.02869937795912847,nll,-1914.905434899872,False,rush_hour,10
