regime,arc,n_samples,n_bezier,method,time_s,metric_name,metric,failed
full_day,1->31,3222,20,bezier_pgd,0.007612116984091699,mse,1.4235738729988634e-05,False
full_day,1->31,3222,20,bezier_ipopt,16.603344899020158,mse,1.9524696847430403e-06,False
full_day,1->31,3222,20,bezier_nm,87.73208235099446,mse,0.00035873697450260016,False
full_day,10->435,3222,20,bezier_pgd,0.00582421402214095,mse,0.008372547675421364,False
full_day,10->435,3222,20,bezier_ipopt,21.085216739971656,mse,9.311087611461195e-05,False
full_day,10->435,3222,20,bezier_nm,57.34064776694868,mse,0.23930890619811482,False
full_day,100->524,3222,20,bezier_pgd,0.0034441970055922866,mse,9.587792910365028e-06,False
full_day,100->524,3222,20,bezier_ipopt,14.299074346025009,mse,3.578809299544737e-06,False
full_day,100->524,3222,20,bezier_nm,85.85315009299666,mse,0.00029915986086499643,False
full_day,100->99,3222,20,bezier_pgd,0.0031932179699651897,mse,8.970842082249234e-06,False
full_day,100->99,3222,20,bezier_ipopt,13.105499600991607,mse,2.691450102252885e-06,False
full_day,100->99,3222,20,bezier_nm,83.44517976796487,mse,0.00037025633427670567,False
full_day,101->102,3222,20,bezier_pgd,0.0033840780379250646,mse,7.97168958326049e-06,False
full_day,101->102,3222,20,bezier_ipopt,16.98263175500324,mse,2.018096340164266e-06,False
full_day,101->102,3222,20,bezier_nm,85.61949316697428,mse,0.000297277391496982,False
full_day,101->457,3222,20,bezier_pgd,0.0035233889939263463,mse,6.199363399704236e-06,False
full_day,101->457,3222,20,bezier_ipopt,15.334248428000137,mse,1.678241472270767e-06,False
full_day,101->457,3222,20,bezier_nm,83.30362996499753,mse,0.0002595888809474697,False
full_day,102->101,3222,20,bezier_pgd,0.003397453052457422,mse,9.734515833857882e-06,False
full_day,102->101,3222,20,bezier_ipopt,15.656732964038383,mse,2.9906108847614706e-06,False
full_day,102->101,3222,20,bezier_nm,89.17568729398772,mse,0.0003125079969074497,False
full_day,102->103,3222,20,bezier_pgd,0.0033487780019640923,mse,9.950604950359466e-06,False
full_day,102->103,3222,20,bezier_ipopt,21.19594779802719,mse,3.6654431639292143e-06,False
full_day,102->103,3222,20,bezier_nm,90.08819566003513,mse,0.00029852610644430077,False
full_day,103->102,3222,20,bezier_pgd,0.0037345829769037664,mse,9.000808125970629e-06,False
full_day,103->102,3222,20,bezier_ipopt,17.106811358011328,mse,3.382333353888578e-06,False
full_day,103->102,3222,20,bezier_nm,85.85670523002045,mse,0.0003420012014056773,False
full_day,103->104,3222,20,bezier_pgd,0.003549405955709517,mse,1.1887724727010637e-05,False
full_day,103->104,3222,20,bezier_ipopt,14.00070264399983,mse,2.376608993205525e-06,False
full_day,103->104,3222,20,bezier_nm,83.86386233597295,mse,0.0003446078894036379,False
full_day,104->103,3222,20,bezier_pgd,0.0043347820173949,mse,9.094732516665837e-06,False
full_day,104->103,3222,20,bezier_ipopt,18.953380954975728,mse,2.341904584884062e-06,False
full_day,104->103,3222,20,bezier_nm,80.87135386397131,mse,0.00029080604649000136,False
full_day,104->105,3222,20,bezier_pgd,0.0031118670012801886,mse,6.799240175041534e-06,False
full_day,104->105,3222,20,bezier_ipopt,14.829413797007874,mse,3.554227670819022e-06,False
full_day,104->105,3222,20,bezier_nm,80.98818618798396,mse,0.00024752540378555974,False
full_day,105->104,3222,20,bezier_pgd,0.004418629978317767,mse,8.67094949216614e-06,False
full_day,105->104,3222,20,bezier_ipopt,12.58559387398418,mse,4.149573165898571e-06,False
full_day,105->104,3222,20,bezier_nm,82.18014421901898,mse,0.00030905720990927736,False
full_day,105->18,3222,20,bezier_pgd,0.003411727026104927,mse,1.1248139629368084e-05,False
full_day,105->18,3222,20,bezier_ipopt,12.413405457045883,mse,4.724710649314497e-06,False
full_day,105->18,3222,20,bezier_nm,87.94910725799855,mse,0.00013266091537702672,False
full_day,106->216,3222,20,bezier_pgd,0.011245412984862924,mse,0.7975930740208094,False
full_day,106->216,3222,20,bezier_ipopt,,mse,,True
full_day,106->216,3222,20,bezier_nm,56.54212529200595,mse,0.8155758372624884,False
full_day,106->5,3222,20,bezier_pgd,0.003224554006010294,mse,9.971002570438813e-06,False
full_day,106->5,3222,20,bezier_ipopt,15.17238487303257,mse,3.366940457678386e-06,False
full_day,106->5,3222,20,bezier_nm,83.36723811901174,mse,0.00027210495141285834,False
full_day,107->111,3222,20,bezier_pgd,0.0031671749893575907,mse,1.1678827790434215e-05,False
full_day,107->111,3222,20,bezier_ipopt,16.20092910400126,mse,2.619924785995544e-06,False
full_day,107->111,3222,20,bezier_nm,78.30512914597057,mse,0.0002999991311466203,False
full_day,107->7,3222,20,bezier_pgd,0.00422618497395888,mse,6.409108785778696e-06,False
full_day,107->7,3222,20,bezier_ipopt,12.348629045998678,mse,2.9971010625233633e-06,False
full_day,107->7,3222,20,bezier_nm,89.44580119702732,mse,7.90169600827255e-05,False
full_day,108->510,3222,20,bezier_pgd,0.004271213954780251,mse,0.008121456331750961,False
full_day,108->510,3222,20,bezier_ipopt,18.517481457965914,mse,0.00016339816474659235,False
full_day,108->510,3222,20,bezier_nm,57.76924020296428,mse,0.1958414177918698,False
full_day,108->7,3222,20,bezier_pgd,0.005568623018916696,mse,0.022388023959069154,False
full_day,108->7,3222,20,bezier_ipopt,,mse,,True
full_day,108->7,3222,20,bezier_nm,55.55731031601317,mse,0.2659742814813541,False
full_day,109->341,3222,20,bezier_pgd,0.007136758998967707,mse,0.0006676952081164066,False
full_day,109->341,3222,20,bezier_ipopt,,mse,,True
full_day,109->341,3222,20,bezier_nm,60.562000739970244,mse,0.2025422416837495,False
full_day,109->78,3222,20,bezier_pgd,0.0030652949935756624,mse,6.805041546683636e-06,False
full_day,109->78,3222,20,bezier_ipopt,12.168437845946755,mse,4.319331378304156e-06,False
full_day,109->78,3222,20,bezier_nm,81.63261514098849,mse,0.00022718259886946832,False
full_day,11->517,3222,20,bezier_pgd,0.006380650971550494,mse,0.0058906049118740925,False
full_day,11->517,3222,20,bezier_ipopt,26.412612249027006,mse,0.0001535780864139645,False
full_day,11->517,3222,20,bezier_nm,56.8908620569855,mse,0.2744902578160478,False
full_day,110->345,3222,20,bezier_pgd,0.003107792988885194,mse,7.632143635105817e-06,False
full_day,110->345,3222,20,bezier_ipopt,14.238127605000045,mse,4.203946689342335e-06,False
full_day,110->345,3222,20,bezier_nm,83.01986628200393,mse,0.0002908801933735132,False
full_day,110->79,3222,20,bezier_pgd,0.0031640270026400685,mse,1.0781385958316272e-05,False
full_day,110->79,3222,20,bezier_ipopt,18.702242570987437,mse,2.8138194301607893e-06,False
full_day,110->79,3222,20,bezier_nm,83.71211318700807,mse,0.0003433351384166676,False
full_day,111->107,3222,20,bezier_pgd,0.003277926007285714,mse,0.12524286060351572,False
full_day,111->107,3222,20,bezier_ipopt,,mse,,True
full_day,111->107,3222,20,bezier_nm,56.3328127200366,mse,0.7020454774915134,False
full_day,111->239,3222,20,bezier_pgd,0.004083204024937004,mse,0.03688329740276375,False
full_day,111->239,3222,20,bezier_ipopt,18.557098168006632,mse,2.222640485315106e-05,False
full_day,111->239,3222,20,bezier_nm,55.92005728499498,mse,0.44663373980157467,False
full_day,112->42,3222,20,bezier_pgd,0.003251338959671557,mse,1.0379419504053252e-05,False
full_day,112->42,3222,20,bezier_ipopt,14.26930850703502,mse,5.712549749228091e-06,False
full_day,112->42,3222,20,bezier_nm,84.64358759700553,mse,0.0001145432857654045,False
full_day,113->531,3222,20,bezier_pgd,0.00468792300671339,mse,0.0065665047796830515,False
full_day,113->531,3222,20,bezier_ipopt,,mse,,True
full_day,113->531,3222,20,bezier_nm,56.46162701403955,mse,0.376156786039749,False
full_day,113->532,3222,20,bezier_pgd,0.004820776986889541,mse,1.6284187689440953e-05,False
full_day,113->532,3222,20,bezier_ipopt,15.549630240013357,mse,2.4765324997536164e-06,False
full_day,113->532,3222,20,bezier_nm,83.80906099197455,mse,0.0005069054304302289,False
full_day,114->280,3222,20,bezier_pgd,0.003976019041147083,mse,0.03466017619498657,False
full_day,114->280,3222,20,bezier_ipopt,,mse,,True
full_day,114->280,3222,20,bezier_nm,61.44078685599379,mse,0.35220058198696086,False
full_day,114->297,3222,20,bezier_pgd,0.0029495659982785583,mse,1.0595288933093747e-05,False
full_day,114->297,3222,20,bezier_ipopt,13.955894675978925,mse,3.0877482708994097e-06,False
full_day,114->297,3222,20,bezier_nm,78.02650319499662,mse,0.0003571285420335395,False
full_day,115->353,3222,20,bezier_pgd,0.007512722979299724,mse,0.009884442867177892,False
full_day,115->353,3222,20,bezier_ipopt,80.52495675598038,mse,0.00021596183214028954,False
full_day,115->353,3222,20,bezier_nm,54.946833254012745,mse,0.29704627074167034,False
full_day,115->459,3222,20,bezier_pgd,0.004062463995069265,mse,0.025914834568750978,False
full_day,115->459,3222,20,bezier_ipopt,,mse,,True
full_day,115->459,3222,20,bezier_nm,62.41159291495569,mse,0.31906921300622665,False
full_day,116->177,3222,20,bezier_pgd,0.007372556021437049,mse,0.0020370218612470177,False
full_day,116->177,3222,20,bezier_ipopt,22.98531593399821,mse,0.00021272486470340216,False
full_day,116->177,3222,20,bezier_nm,56.71005769399926,mse,0.17444463864366844,False
full_day,116->423,3222,20,bezier_pgd,0.009109303005971014,mse,0.016669170942120944,False
full_day,116->423,3222,20,bezier_ipopt,20.910316708032042,mse,0.0002556647240400475,False
full_day,116->423,3222,20,bezier_nm,56.44462993805064,mse,0.2898809545929382,False
full_day,117->460,3222,20,bezier_pgd,0.005717285966966301,mse,0.0007623363905525647,False
full_day,117->460,3222,20,bezier_ipopt,29.535437471000478,mse,0.00012413148824033524,False
full_day,117->460,3222,20,bezier_nm,54.630986249947455,mse,0.22214998436122976,False
full_day,117->484,3222,20,bezier_pgd,0.0049565889639779925,mse,0.008834849608940404,False
full_day,117->484,3222,20,bezier_ipopt,23.809230019978713,mse,0.00019820812011847374,False
full_day,117->484,3222,20,bezier_nm,56.451848242024425,mse,0.2594487060430321,False
full_day,118->119,3222,20,bezier_pgd,0.003676516003906727,mse,0.00020239563024963182,False
full_day,118->119,3222,20,bezier_ipopt,,mse,,True
