n,IPOPT_MSE,IPOPT_time_ms,PGD_MSE,PGD_time_ms
3,0.0008184148413080221,1109.2673410312273,0.002537773569619195,0.8618760039098561
4,0.00033828584379525786,1015.8755400334485,0.00038645742277953235,0.675559975206852
5,6.660149958874165e-05,1120.1275900239125,0.0002882384288854342,0.7270689820870757
6,3.082489494631718e-05,1441.9132529874332,0.00023191786121020043,0.9756740182638168
7,2.328502527425817e-05,3504.5365410041995,0.0001276299935319069,1.3139030197635293
8,2.1051141115128228e-05,2066.1699299816974,5.675442100118414e-05,1.9703260040841997
9,2.0126867763572313e-05,2520.589172025211,5.795045462787048e-05,2.5411840179003775
10,1.797969112076746e-05,3094.4268070161343,4.509952539927353e-05,1.7365029780194163
11,1.8401798651068624e-05,2654.241890006233,4.5988427327862346e-05,1.5662609948776662
12,1.62184571295452e-05,2800.2498510177247,4.1274467641666376e-05,1.6081230132840574
13,1.4785244003559413e-05,4556.271248031408,4.069951239287983e-05,1.6643619746901095
14,1.4215547878468793e-05,5875.604387023486,3.860993131035593e-05,1.7861350206658244
15,1.3203692536944712e-05,7703.856986016035,3.736864965947512e-05,1.7298379680141807
16,1.3987658265448713e-05,5376.681747962721,3.6086820573366986e-05,1.8448689952492714
17,1.2986094779834044e-05,4008.120352984406,3.453748372786385e-05,2.1211749990470707
18,1.218488642426904e-05,5532.117033028044,3.330788753722589e-05,2.017368038650602
19,1.1351883433741741e-05,6250.979005009867,3.1962687052240394e-05,2.0103479619137943
20,1.0484118350235531e-05,9076.000021013897,3.0848954544700274e-05,2.282462955918163
