family,instance,method,time_s,metric_name,metric,failed
beta,0,bezier_mle,0.004752716980874538,nll,655.8672076323194,False
beta,0,gen_beta_mle,0.010131198971066624,nll,649.9681856912509,False
beta,0,johnson_mle,0.04110822203801945,nll,678.7863654427567,False
beta,0,bezier_pgd,0.001310930005274713,mse,1.7740952397291534e-05,False
beta,0,bezier_ipopt,3.220540720038116,mse,1.3455043561301402e-05,False
beta,0,bezier_nm,12.306029384024441,mse,0.0003260157782944774,False
beta,1,bezier_mle,0.0030077099800109863,nll,789.1676810835488,False
beta,1,gen_beta_mle,0.007916089962236583,nll,781.2965322448429,False
beta,1,johnson_mle,0.04733833100181073,nll,793.4395380844417,False
beta,1,bezier_pgd,0.001287079998292029,mse,3.5254734492719404e-05,False
beta,1,bezier_ipopt,2.5938871069811285,mse,2.1843335200420596e-05,False
beta,1,bezier_nm,12.671241404954344,mse,0.000800872979977273,False
beta,2,bezier_mle,0.002657695033121854,nll,2394.7894607040694,False
beta,2,gen_beta_mle,0.00902129098540172,nll,2387.652775679945,False
beta,2,johnson_mle,0.03926935698837042,nll,2406.2044910351033,False
beta,2,bezier_pgd,0.0010400089668110013,mse,2.6112088512203585e-05,False
beta,2,bezier_ipopt,2.160272804030683,mse,1.107901951174097e-05,False
beta,2,bezier_nm,14.02702301501995,mse,7.192160067356634e-05,False
beta,3,bezier_mle,0.003322075994219631,nll,621.1119711595395,False
beta,3,gen_beta_mle,0.014583076001144946,nll,617.8855894352724,False
beta,3,johnson_mle,0.03695559600600973,nll,677.3281869332543,False
beta,3,bezier_pgd,0.001486476045101881,mse,2.5230409381731633e-05,False
beta,3,bezier_ipopt,1.8970530810183845,mse,8.394929345744755e-06,False
beta,3,bezier_nm,11.87731101398822,mse,8.947995239498169e-05,False
beta,4,bezier_mle,0.003281093027908355,nll,2635.57335981975,False
beta,4,gen_beta_mle,0.00895008398219943,nll,2621.601433433943,False
beta,4,johnson_mle,0.04792064102366567,nll,2636.1427548303814,False
beta,4,bezier_pgd,0.0013282999861985445,mse,2.8366349707432472e-05,False
beta,4,bezier_ipopt,2.931668781035114,mse,1.2250963818014583e-05,False
beta,4,bezier_nm,13.680455355031881,mse,0.00010000247063312478,False
beta,5,bezier_mle,0.008588682976551354,nll,1886.3129403896512,False
beta,5,gen_beta_mle,0.01003100600792095,nll,1876.0036704296954,False
beta,5,johnson_mle,0.04574617696925998,nll,1890.30649749142,False
beta,5,bezier_pgd,0.0012226399849168956,mse,2.351466392591384e-05,False
beta,5,bezier_ipopt,3.6741515530156903,mse,1.1487757938950907e-05,False
beta,5,bezier_nm,13.289148369978648,mse,0.0001547707333193432,False
beta,6,bezier_mle,0.0024224119842983782,nll,2515.5274005075485,False
beta,6,gen_beta_mle,0.023049113049637526,nll,2505.371940496178,False
beta,6,johnson_mle,0.039953779021743685,nll,2568.6911231834424,False
beta,6,bezier_pgd,0.0010190720204263926,mse,1.7043679057931866e-05,False
beta,6,bezier_ipopt,4.052967194991652,mse,7.877746410396076e-06,False
beta,6,bezier_nm,14.421667620015796,mse,4.135054031217984e-05,False
beta,7,bezier_mle,0.0022164579713717103,nll,1374.65125505432,False
beta,7,gen_beta_mle,0.008159271965269,nll,1370.0961717097605,False
beta,7,johnson_mle,0.055798375979065895,nll,1416.4194546623821,False
beta,7,bezier_pgd,0.0015016079996712506,mse,2.6550499876171338e-05,False
beta,7,bezier_ipopt,1.7787044469732791,mse,1.2962062818000138e-05,False
beta,7,bezier_nm,12.629005056980532,mse,6.340438216035243e-05,False
beta,8,bezier_mle,0.0024220349732786417,nll,2008.4640086225904,False
beta,8,gen_beta_mle,0.014258304028771818,nll,2006.3765238847332,False
beta,8,johnson_mle,0.03945013997144997,nll,2054.7354105765344,False
beta,8,bezier_pgd,0.0010409359820187092,mse,3.5101317057009934e-05,False
beta,8,bezier_ipopt,1.8445537520456128,mse,1.5725438300624862e-05,False
beta,8,bezier_nm,13.12867300095968,mse,8.763645877581252e-05,False
beta,9,bezier_mle,0.003802143968641758,nll,2450.4507900890676,False
beta,9,gen_beta_mle,0.008922785986214876,nll,2439.0068372692645,False
beta,9,johnson_mle,0.04455606802366674,nll,2448.506304486704,False
beta,9,bezier_pgd,0.0011577870463952422,mse,2.363075159754522e-05,False
beta,9,bezier_ipopt,2.678267113980837,mse,1.2174088351004005e-05,False
beta,9,bezier_nm,13.239622395019978,mse,0.00019204016065506383,False
beta,10,bezier_mle,0.0025517409667372704,nll,1139.5522665509502,False
beta,10,gen_beta_mle,0.01182671298738569,nll,1130.996348158306,False
beta,10,johnson_mle,0.03719281399389729,nll,1181.2963719528898,False
beta,10,bezier_pgd,0.0011329849949106574,mse,3.198679855532884e-05,False
beta,10,bezier_ipopt,2.6038480499992147,mse,6.5266776216021995e-06,False
beta,10,bezier_nm,11.476430499984417,mse,0.000212332717630743,False
beta,11,bezier_mle,0.002010212978348136,nll,2233.789183912115,False
beta,11,gen_beta_mle,0.019987583975307643,nll,2225.124425498131,False
beta,11,johnson_mle,0.040039396029897034,nll,2472.274806165392,False
beta,11,bezier_pgd,0.001108851982280612,mse,2.508569131616485e-05,False
beta,11,bezier_ipopt,7.276851600967348,mse,6.479984811617143e-06,False
beta,11,bezier_nm,14.68867483199574,mse,0.0005184590984801891,False
beta,12,bezier_mle,0.0024675860186107457,nll,968.5189363024142,False
beta,12,gen_beta_mle,0.005504118977114558,nll,960.6665459559797,False
beta,12,johnson_mle,0.038657646044157445,nll,985.9690924095744,False
beta,12,bezier_pgd,0.0010646029841154814,mse,4.2168649955774185e-05,False
beta,12,bezier_ipopt,1.9744034499744885,mse,1.1414199611565005e-05,False
beta,12,bezier_nm,12.294047268980648,mse,0.00033440521158944027,False
beta,13,bezier_mle,0.001727734983433038,nll,1967.449588387331,False
beta,13,gen_beta_mle,0.01975313201546669,nll,1962.397207280037,False
beta,13,johnson_mle,0.03766766202170402,nll,2033.7090343011585,False
beta,13,bezier_pgd,0.0009186800452880561,mse,2.950784576752248e-05,False
beta,13,bezier_ipopt,2.8528120539849624,mse,7.3437143394509384e-06,False
beta,13,bezier_nm,15.032728430989664,mse,5.323074478082264e-05,False
beta,14,bezier_mle,0.006042530992999673,nll,1592.9987313026704,False
beta,14,gen_beta_mle,0.0101378129911609,nll,1585.7037523275803,False
beta,14,johnson_mle,0.03716066398192197,nll,1596.3480734220875,False
beta,14,bezier_pgd,0.0013255229569040239,mse,1.9174644299138997e-05,False
beta,14,bezier_ipopt,1.9955863089999184,mse,1.1862847506794349e-05,False
beta,14,bezier_nm,12.922147870995104,mse,0.00017287954369105734,False
beta,15,bezier_mle,0.0027568420046009123,nll,1553.0278300081995,False
beta,15,gen_beta_mle,0.0337997559690848,nll,1534.9894911874446,False
beta,15,johnson_mle,0.03876791597576812,nll,1709.0072974121092,False
beta,15,bezier_pgd,0.0010549009894020855,mse,4.868755194063578e-05,False
beta,15,bezier_ipopt,2.208614695002325,mse,1.683262136008546e-05,False
beta,15,bezier_nm,15.37432716297917,mse,4.044633922149192e-05,False
beta,16,bezier_mle,0.0013933400041423738,nll,1704.9257849928176,False
beta,16,gen_beta_mle,0.02032977796625346,nll,1708.8781761936093,False
beta,16,johnson_mle,0.037984369962941855,nll,1870.1830715860597,False
beta,16,bezier_pgd,0.0009450619691051543,mse,2.5297547892420467e-05,False
beta,16,bezier_ipopt,2.4964416479924694,mse,7.9377807748254e-06,False
beta,16,bezier_nm,13.059349588002078,mse,6.34314279404527e-05,False
beta,17,bezier_mle,0.002890370029490441,nll,2315.0474410529814,False
beta,17,gen_beta_mle,0.006859169981908053,nll,2307.8010539870365,False
beta,17,johnson_mle,0.03655932401306927,nll,2330.485016227651,False
beta,17,bezier_pgd,0.001180606021080166,mse,2.7993098126260563e-05,False
beta,17,bezier_ipopt,2.3177356380037963,mse,1.4181208697924626e-05,False
beta,17,bezier_nm,12.958184399001766,mse,0.00011618680123975189,False
beta,18,bezier_mle,0.0018599929753690958,nll,483.6695833622059,False
beta,18,gen_beta_mle,0.009543752996250987,nll,475.6224391589214,False
beta,18,johnson_mle,0.03965265298029408,nll,530.5695996483232,False
beta,18,bezier_pgd,0.0009273209725506604,mse,2.1420344306270166e-05,False
beta,18,bezier_ipopt,2.6831943200086243,mse,6.807780652749137e-06,False
beta,18,bezier_nm,12.210157948022243,mse,0.00039722396749825565,False
beta,19,bezier_mle,0.0038107639993540943,nll,2043.2206026717233,False
beta,19,gen_beta_mle,0.016338181972969323,nll,2040.137936694825,False
beta,19,johnson_mle,0.06257202400593087,nll,2073.8013736663047,False
beta,19,bezier_pgd,0.001074109983164817,mse,2.191482533444291e-05,False
beta,19,bezier_ipopt,3.4297684940393083,mse,6.3498827759780315e-06,False
beta,19,bezier_nm,13.338938909990247,mse,6.158380475927686e-05,False
beta,20,bezier_mle,0.0025725489831529558,nll,1604.3237847321975,False
beta,20,gen_beta_mle,0.008828260004520416,nll,1596.8612523182055,False
beta,20,johnson_mle,0.03452248504618183,nll,1624.3554885228555,False
beta,20,bezier_pgd,0.001105197996366769,mse,2.770746805630744e-05,False
beta,20,bezier_ipopt,3.274039095034823,mse,8.597105366289067e-06,False
beta,20,bezier_nm,13.357004021003377,mse,0.00013219731421400965,False
beta,21,bezier_mle,0.0019201919785700738,nll,912.8239443352288,False
beta,21,gen_beta_mle,0.008864930015988648,nll,909.7864111154411,False
beta,21,johnson_mle,0.06798815197544172,nll,961.1159121382503,False
beta,21,bezier_pgd,0.0008126019965857267,mse,3.075952028936101e-05,False
beta,21,bezier_ipopt,1.9402425399748608,mse,2.292646498920918e-05,False
beta,21,bezier_nm,12.95116847398458,mse,0.00011219383822601986,False
beta,22,bezier_mle,0.0055576449958607554,nll,2559.7425423659815,False
beta,22,gen_beta_mle,0.015668761043343693,nll,2550.5425324742205,False
beta,22,johnson_mle,0.06910392601275817,nll,2564.061831713626,False
beta,22,bezier_pgd,0.001660174981225282,mse,1.7905256073888614e-05,False
beta,22,bezier_ipopt,1.7831840839935467,mse,1.123163046838393e-05,False
beta,22,bezier_nm,15.020714732003398,mse,0.0001403417310828214,False
beta,23,bezier_mle,0.002739829011261463,nll,1444.05046322506,False
